mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.14426636695861816,0.007210838775779073,0.00916144847869873,0.0004776113001750064,1,1,100,"{'max_features': 1, 'min_samples_leaf': 1, 'n_estimators': 100}",0.9682080924855492,0.9653179190751445,0.9277456647398844,0.9623188405797102,0.9478260869565217,0.9507246376811594,0.9478260869565217,0.9505813953488372,0.9622093023255814,0.9680232558139535,0.9550724637681159,0.012007520054943882,31
0.3509677886962891,0.006273223727492507,0.021277379989624024,0.0006633928633626742,1,1,250,"{'max_features': 1, 'min_samples_leaf': 1, 'n_estimators': 250}",0.9710982658959537,0.9682080924855492,0.9277456647398844,0.9652173913043478,0.9507246376811594,0.9594202898550724,0.9623188405797102,0.9476744186046512,0.9622093023255814,0.9680232558139535,0.9582608695652174,0.01242460300925545,4
0.7102917194366455,0.033172117160829934,0.041236162185668945,0.0003975703690570097,1,1,500,"{'max_features': 1, 'min_samples_leaf': 1, 'n_estimators': 500}",0.9710982658959537,0.9682080924855492,0.930635838150289,0.9594202898550724,0.9507246376811594,0.9594202898550724,0.9536231884057971,0.9476744186046512,0.9738372093023255,0.9709302325581395,0.9585507246376812,0.012742569486753416,3
1.6476346731185914,0.27049567311850725,0.0942152738571167,0.017927214819756565,1,1,1000,"{'max_features': 1, 'min_samples_leaf': 1, 'n_estimators': 1000}",0.9682080924855492,0.9682080924855492,0.9277456647398844,0.9594202898550724,0.9507246376811594,0.9594202898550724,0.9565217391304348,0.9476744186046512,0.9709302325581395,0.9738372093023255,0.9582608695652174,0.01307121826095222,4
2.9000519514083862,0.05518017129867706,0.17484161853790284,0.0049090189403630715,1,1,2000,"{'max_features': 1, 'min_samples_leaf': 1, 'n_estimators': 2000}",0.9710982658959537,0.9653179190751445,0.9335260115606936,0.9594202898550724,0.9507246376811594,0.9594202898550724,0.9536231884057971,0.9476744186046512,0.9651162790697675,0.9709302325581395,0.9576811594202899,0.0110684057646309,10
0.11701405048370361,0.003555520027409141,0.008679008483886719,0.0015619514543954412,1,2,100,"{'max_features': 1, 'min_samples_leaf': 2, 'n_estimators': 100}",0.9393063583815029,0.953757225433526,0.9104046242774566,0.9420289855072463,0.9246376811594202,0.9304347826086956,0.9478260869565217,0.938953488372093,0.936046511627907,0.9593023255813954,0.9382608695652174,0.013488910033842555,98
0.2886908531188965,0.018110293126649874,0.021418952941894533,0.004207520088917749,1,2,250,"{'max_features': 1, 'min_samples_leaf': 2, 'n_estimators': 250}",0.9450867052023122,0.9566473988439307,0.9104046242774566,0.9420289855072463,0.9304347826086956,0.9304347826086956,0.936231884057971,0.938953488372093,0.9331395348837209,0.9447674418604651,0.9368115942028985,0.011630309278499921,100
0.5670536041259766,0.019414249158085182,0.0401972770690918,0.004208490636375113,1,2,500,"{'max_features': 1, 'min_samples_leaf': 2, 'n_estimators': 500}",0.9393063583815029,0.9595375722543352,0.9190751445086706,0.9507246376811594,0.927536231884058,0.9391304347826087,0.9420289855072463,0.9331395348837209,0.938953488372093,0.9534883720930233,0.9402898550724638,0.011516296848741246,96
1.127662181854248,0.03329584019979708,0.08613269329071045,0.02863331174121829,1,2,1000,"{'max_features': 1, 'min_samples_leaf': 2, 'n_estimators': 1000}",0.9479768786127167,0.953757225433526,0.9075144508670521,0.9449275362318841,0.9246376811594202,0.9391304347826087,0.9391304347826087,0.938953488372093,0.9302325581395349,0.9505813953488372,0.9376811594202898,0.013144877154326148,99
2.3207680702209474,0.11567898112272845,0.15689258575439452,0.01704770819667778,1,2,2000,"{'max_features': 1, 'min_samples_leaf': 2, 'n_estimators': 2000}",0.9508670520231214,0.953757225433526,0.9132947976878613,0.9420289855072463,0.9246376811594202,0.936231884057971,0.9449275362318841,0.936046511627907,0.9331395348837209,0.9534883720930233,0.9388405797101449,0.012379650521586655,97
0.10740644931793213,0.0040964847809394364,0.008576750755310059,0.0020747334353550476,1,3,100,"{'max_features': 1, 'min_samples_leaf': 3, 'n_estimators': 100}",0.9277456647398844,0.9479768786127167,0.9104046242774566,0.9333333333333333,0.9188405797101449,0.927536231884058,0.936231884057971,0.9215116279069767,0.9302325581395349,0.9418604651162791,0.9295652173913044,0.010512439062112407,105
0.257247257232666,0.00380872286882076,0.01961202621459961,0.002832171069378666,1,3,250,"{'max_features': 1, 'min_samples_leaf': 3, 'n_estimators': 250}",0.9248554913294798,0.9508670520231214,0.9017341040462428,0.936231884057971,0.9217391304347826,0.9188405797101449,0.9420289855072463,0.9302325581395349,0.9302325581395349,0.9418604651162791,0.9298550724637681,0.013345349661019993,104
0.5459737300872802,0.049106671728834525,0.03893594741821289,0.006333487014435879,1,3,500,"{'max_features': 1, 'min_samples_leaf': 3, 'n_estimators': 500}",0.930635838150289,0.9508670520231214,0.9104046242774566,0.9391304347826087,0.9246376811594202,0.9217391304347826,0.936231884057971,0.9331395348837209,0.9331395348837209,0.938953488372093,0.9318840579710145,0.010514194663805014,101
1.1051665544509888,0.08975111534855663,0.07369651794433593,0.008354847867864963,1,3,1000,"{'max_features': 1, 'min_samples_leaf': 3, 'n_estimators': 1000}",0.930635838150289,0.9479768786127167,0.9075144508670521,0.9333333333333333,0.9159420289855073,0.9246376811594202,0.9391304347826087,0.9302325581395349,0.9331395348837209,0.938953488372093,0.9301449275362319,0.011144672822889534,103
